"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3"
"LOC107275340",0,0,0,0
"LOC107275341",7.7896017514357,7.84209433585517,7.01769170861967,6.83407812802146
"LOC107275342",5.5668520185783,5.51147506468661,4.21713830482925,4.31015339872319
"LOC107275344",0,0,0,0
"LOC107275345",0,0,0,0
"LOC107275346",0,0,0,0
"LOC107275347",0,0,0,0
"LOC107275348",0,0,0,0
"LOC107275349",0.333097255760484,0.315398313345716,0.267838670791687,0.266811802549216
"LOC107275351",0.590128556008401,0.661941983020455,0.642809859122341,0.609949086738532
"LOC107275352",-0.0208610247275707,0.0727167070967834,-0.0203537303407635,-0.0211991741563055
"LOC107275353",1.48549500158325,1.48620982753096,1.58822763080573,1.65242342377544
"LOC107275354",0,0,0,0
"LOC107275355",0,0,0,0
"LOC107275356",-1.72829673971194,-1.72784370398162,-1.7273911871809,-1.71839970963333
"LOC107275357",8.77401377340914,8.4993999948957,7.1551145854751,7.70996475848678
"LOC107275358",0,0,0,0
"LOC107275360",1.43040905777715,1.35132013652579,1.30369535603945,1.36118733837811
"LOC107275362",0,0,0,0
"LOC107275363",0,0,0,0
"LOC107275364",0,0,0,0
"LOC107275365",0,0,0,0
"LOC107275366",0,0,0,0
"LOC107275367",-0.119646349373786,-0.163357383031105,-0.163127713841773,-0.124553239160292
"LOC107275368",7.30928013506676,7.30556314253712,6.46032579779695,6.53866771479213
"LOC107275369",0,0,0,0
"LOC107275370",0,0,0,0
"LOC107275371",-0.454209128234144,-0.519277070453409,-0.519096388057331,-0.519680203757708
"LOC107275372",-1.11210526147489,-1.11124928806504,-1.11039429512959,-1.07615137276643
"LOC107275373",1.3375865749154,1.21456776641317,1.16462988078891,1.1624789327063
"LOC107275374",0,0,0,0
"LOC107275375",0,0,0,0
"LOC107275376",7.93002061370553,7.92400023718243,7.34637750166221,7.01430316656855
"LOC107275377",0,0,0,0
"LOC107275378",0,0,0,0
"LOC107275379",0,0,0,0
"LOC107275380",0,0,0,0
"LOC107275381",0.175967656417086,0.132252711463396,0.132535295554503,0.18996424251425
"LOC107275382",0.80248986619975,0.700212083328162,0.676299737464903,0.674929774497812
"LOC107275383",0,0,0,0
"LOC107275384",-1.05552676892823,-1.05455011134887,-1.03054812362671,-1.03527130419358
"LOC107275385",0,0,0,0
"LOC107275386",0,0,0,0
"LOC107275387",0,0,0,0
"LOC107275389",1.30363238556048,1.27939545940672,1.51035215860086,1.27762863893019
"LOC107275391",0,0,0,0
"LOC107275392",0,0,0,0
"LOC107275393",0,0,0,0
"LOC107275394",0,0,0,0
"LOC107275395",3.70101093566308,3.61113859365595,3.60912462075878,3.58312754630689
"LOC107275396",0,0,0,0
"LOC107275397",0,0,0,0
"LOC107275398",0,0,0,0
"LOC107275399",0,0,0,0
"LOC107275400",0,0,0,0
"LOC107275401",0,0,0,0
"LOC107275402",1.18400835884795,1.25560245080451,1.16249007479801,1.2573853630879
"LOC107275403",-0.517588539052922,-0.517418602391535,-0.491348756789056,-0.478367988959227
"LOC107275404",0,0,0,0
"LOC107275405",0,0,0,0
"LOC107275406",0,0,0,0
"LOC107275407",0,0,0,0
"LOC107275408",2.84286383415423,2.82639702913552,2.52294871997658,2.51644737561513
"LOC107275409",0,0,0,0
"LOC107275410",-1.05552676892823,-1.05455011134887,-1.03054812362671,-1.03527130419358
"LOC107275411",0,0,0,0
"LOC107275412",3.905808471106,4.27093362312732,3.99150981597744,4.00366999158993
"LOC107275413",0,0,0,0
"LOC107275414",0.0176475631991125,-0.00468973014096639,0.0471083948842785,0.0149149033153861
"LOC107275415",1.39197039817757,1.39598558832031,1.34853891574776,1.49597806083776
"LOC107275416",0,0,0,0
"LOC107275417",0,0,0,0
"LOC107275418",0,0,0,0
"LOC107275419",0,0,0,0
"LOC107275420",0.244991147105661,0.225190421173681,0.201372889020989,0.239971897075688
"LOC107275421",4.59898902699639,4.38769530614782,3.60236340110412,3.57795726914453
"LOC107275423",0,0,0,0
"LOC107275424",0.108929112790838,0.0869615489125278,0.0872338663903175,0.162985646026018
"LOC107275425",0,0,0,0
"LOC107275426",0,0,0,0
"LOC107275427",0,0,0,0
"LOC107275428",0,0,0,0
