"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3"
"LOC4350130",9.20060922260972,9.57806886511671,9.2725867831755,7.97447163435612,7.8695612447847,7.19425773962976
"LOC4350132",12.5953021770854,12.6459069757198,12.4880953212462,11.9063986969254,11.6907765084514,11.4713103080696
"LOC4350133",3.96409615674604,4.05446884587314,3.95912709815955,3.80791544510124,3.9925566931296,3.88841505007228
"LOC4350138",14.0722055420999,13.98834944864,14.0719702040182,13.1362009995297,13.220457288289,13.0962741230607
"LOC4350143",10.0048628548572,9.95729953745202,9.99524752125074,10.3714395091586,10.2735716705829,10.295505871428
"LOC4350145",9.99268777880162,9.95134668518011,10.0118917803953,10.4485166106483,10.6755346280596,10.6855546152392
"LOC4350148",3.48003586807724,3.44767623589724,3.20554720578871,3.24652668269253,3.17952667621008,3.19103846719364
"LOC4350150",8.96131321341177,8.68926262668185,8.88620925973409,8.72760075988504,8.84024032553045,8.90133370976908
"LOC4350151",7.01591859287146,7.00363935165514,6.79392346207966,7.64652280607981,7.94615447247904,7.57325765828792
"LOC4350155",7.79346502204467,7.72958220041262,7.65975661910267,7.45180025879172,7.30002270597219,7.13133641645777
"LOC4350156",2.93300832132096,2.81888442186915,2.94021076095406,2.790236257199,2.77171343401231,2.79960279599001
"LOC4350164",7.93336513440339,8.1099063401081,7.93942337558992,8.05604350000512,8.19738925939073,7.85033801349191
"LOC4350166",9.55822333853499,9.64854797769983,9.66015061793761,9.69918291352078,9.49474602243478,9.51023776418925
"LOC4350169",5.46059498857614,5.21819952924386,5.58569263999876,4.96324320649306,4.97181800446161,5.0710828541958
"LOC4350170",11.143439988014,11.1636635619241,11.1524985961551,11.3520271823029,11.4293811669596,11.2750444557207
"LOC4350171",12.2960623752673,12.5131041390032,12.5028736383857,12.7802152589201,12.7189960087347,12.7335615907027
"LOC4350172",7.01385979034917,7.30078514912673,6.76295845123353,7.06153282155977,6.71749266809284,6.91563922754907
"LOC4350174",6.63101335436191,6.60181553123606,6.83212030025271,6.41051443405507,6.54949677868585,6.94125755438697
"LOC4350175",9.35856970857002,9.42479739511669,9.28986024251533,9.01114767857074,9.15039006853664,8.98151324609147
