"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4343262",0.025684,0,0.076566,1.446615,0.536729,1.871541,31.2613435231227,5.1679517256085,0.862864418426759,5.98929752490097,2.10749318668274e-09,1.32993802908219e-08
"LOC9267140",0.923805,1.067116,1.036745,2.009379,2.209804,2.077979,171.039930409563,1.09608060390098,0.183093463483642,5.98645403853484,2.14465155230858e-09,1.35192807563915e-08
"LOC107275697",0.046741,0,0.046027,0.529985,0.557415,0.61777,23.7049671290144,4.21899887761056,0.707075022905496,5.9668334206941,2.41902143851311e-09,1.51704715496475e-08
"LOC107280422",0.039138,0,0,0.439617,0.271859,0.79309,31.7976957752748,5.41949351007518,0.908480562239458,5.96544795269566,2.43963806563465e-09,1.52879809771529e-08
"LOC107276223",0.049474,0.016653,0,1.710538,0.739333,1.881309,107.476449683585,6.12345808219297,1.0271217223808,5.96176475364498,2.49528212576384e-09,1.56166272117036e-08
"LOC4343430",0.037251,0.038675,0.043395,0.432494,0.787677,1.557614,29.9948526686217,4.55048047850774,0.764232787238747,5.95431202964884,2.6116810375508e-09,1.6307472694945e-08
"LOC4326956",0.89305,0.656361,0.762693,1.488783,1.988628,2.239724,171.009445883139,1.34335791086567,0.225638000416019,5.95359783542162,2.62310925166838e-09,1.63704552837438e-08
"LOC9267886",0.381307,0.54048,0.500666,1.023444,1.004031,1.211316,178.723230955079,1.22355248338868,0.20566137212311,5.94935485821935,2.69201434805053e-09,1.67661868352175e-08
"LOC4326963",0.108861,0.030866,0.148865,0.71559,0.522878,0.689422,45.912561324401,2.76160835617617,0.464418905861029,5.94637367541309,2.74147921618048e-09,1.7052503748352e-08
"LOC4345222",1.473311,2.209122,1.853148,6.237224,4.063104,4.974236,151.344991473793,1.50486868722362,0.253753072535716,5.9304451850994,3.02114429849383e-09,1.87110099055157e-08
"LOC4341060",0.931556,0.800464,1.195066,2.553131,2.162567,2.351889,145.49969527008,1.30056872661048,0.2198273324107,5.91631946923073,3.29225459053901e-09,2.03539387147609e-08
"LOC4341004",2.583606,2.761044,3.396611,5.425365,6.993597,5.856922,235.138696047463,1.09921631045735,0.185813231865725,5.91570524563979,3.30456539944821e-09,2.0419704372084e-08
"LOC107278004",1.163391,1.227473,1.357792,2.198641,2.640268,3.684988,312.149808207548,1.21988255303476,0.206271801277278,5.91395695136708,3.33985209378422e-09,2.06220869985037e-08
"LOC4351100",1.48278,1.342998,1.874621,3.180292,3.364701,3.37037,187.226302051209,1.10755160909616,0.187665302021895,5.90173887854313,3.59690144427441e-09,2.21364524588628e-08
"LOC9271786",3.217088,3.004851,3.084496,5.015158,6.310457,6.851968,280.453331964554,1.0031402783844,0.170266639466516,5.8915844085927,3.82510186916002e-09,2.34757572095695e-08
