"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4344591",33.680707,32.079908,33.102062,32.183679,1257.52171878719,0.0762078401808038,0.136848870859869,0.556875915029211,0.577612211362054,0.722600286698883
"LOC4329797",1.533473,0.3537,1.654293,1.182884,10.6551406884689,0.625424703995589,1.12415539024561,0.556350758464934,0.577971094161735,0.723003035387587
"LOC4337781",9.522695,10.113693,10.384447,9.732024,257.556642811941,0.123219288291048,0.22149406765134,0.556309654690214,0.577999188187782,0.723003035387587
"LOC9272012",0.462678,2.0426,1.641048,1.649043,21.1814104986948,0.500123614187403,0.899114509437035,0.556240177350209,0.578046676727481,0.723021758856939
"LOC4335647",2.563771,3.214035,3.524292,2.718573,100.661414002308,0.200199006860177,0.360008661654217,0.55609497266059,0.578145931684245,0.723105226099
"LOC4330773",0.477039,0.665734,0.632429,0.802321,21.0775823044962,0.396230259434268,0.712649541986524,0.555995950449597,0.578213623111797,0.723147721647534
"LOC4331078",4.641362,5.261118,3.069156,8.001969,213.655749089117,0.258557994218759,0.465074093869726,0.555950111233641,0.578244959989648,0.723147721647534
"LOC4332724",21.490183,23.922804,21.65972,18.319743,690.496401559462,-0.0977547068809741,0.175858620336568,-0.555870998498031,0.578299045387707,0.723174682271494
"LOC107277416",0.142672,0.096461,0.097934,0.284846,5.40383094882247,0.784489655380579,1.41182346238316,0.555657046566118,0.578445325475614,0.723302387655024
"LOC4343205",12.915721,13.435573,9.957189,12.728237,465.231326716582,-0.121565849872321,0.218790602363817,-0.555626469139541,0.578466232847299,0.723302387655024
"LOC107277611",6.598283,7.108809,5.762595,5.837294,159.567174906264,-0.150210717181129,0.270419951922083,-0.555472020882575,0.578571842555284,0.723388540222618
"LOC4334296",17.082021,17.388751,16.121463,19.511771,224.849539940028,0.141828982390991,0.255349628580902,0.555430541172904,0.578600207384465,0.723388540222618
"LOC9266786",36.264551,34.330893,35.651165,35.117876,647.393700104657,0.0902431042907089,0.162488644583382,0.55538098998912,0.57863409253958,0.723390226013972
"LOC107278363",2.322481,3.264078,3.987214,2.61832,30.0079315892977,0.34669869852324,0.624397959626174,0.5552527729764,0.578721776980198,0.723432646152556
"LOC4352728",33.113324,32.473816,58.139298,21.78861,1239.09735011771,0.36373680532118,0.655161780049452,0.555186240097407,0.57876727962917,0.723432646152556
"LOC4341998",0.327967,0.501303,0.617716,0.447639,14.5791604979252,0.472938962230861,0.851916768804827,0.555146910530189,0.578794178391262,0.723432646152556
"LOC4351657",30.011029,27.381957,29.033485,28.608136,629.050978646439,0.0939390169467273,0.169217438878002,0.555137919410618,0.578800327790996,0.723432646152556
"LOC107275412",0.85812,2.647247,1.179192,1.130454,17.0934524508554,-0.50637682046647,0.912256438158573,-0.555081662661227,0.578838804812931,0.723432646152556
"LOC4333020",86.251615,82.371211,79.300223,88.738768,1316.42275500035,0.0848288610606932,0.152832151347751,0.55504591352428,0.578863256198173,0.723432646152556
"LOC4346600",56.648108,60.345261,59.312871,56.728528,1156.84440797131,0.0760742314304574,0.137079576747324,0.554964008757363,0.578919278540819,0.723461993131248
"LOC4352543",1.665745,1.659048,1.744127,1.878315,75.4231513174035,0.210026225754293,0.3786865514648,0.554617598491126,0.579156249130484,0.723717450928398
"LOC4349121",9.390319,14.551939,15.915599,10.381014,134.138717287293,0.215908605308064,0.389553415582876,0.554246469601624,0.579410179632767,0.723994072038179
"LOC9267338",1.717402,1.189041,1.071128,1.177087,45.0125786772323,-0.285174231338283,0.515035886501086,-0.553697788469894,0.579785689044354,0.724422570783586
"LOC4352926",24.425299,21.640254,23.362801,22.890573,711.159428232635,0.0935931833783074,0.169058144438407,0.553615347484227,0.579842120321361,0.724452366457141
"LOC4345516",2.006909,2.417137,1.418355,2.093022,75.9731673571852,-0.236960899358026,0.428168410321172,-0.553429196657176,0.579969550989418,0.724570860145411
"LOC4334271",13.600762,14.598578,13.509261,14.893612,512.91847311213,0.101515406376412,0.183541156214435,0.553093423132898,0.580199439970949,0.724817337128398
"LOC4351721",3.429492,2.949199,4.557696,2.631369,74.9079586258585,0.249889763480918,0.451875095324087,0.553006275554299,0.58025911296556,0.724851155105253
"LOC4348907",6.974414,6.880783,6.477095,5.389378,205.197480363093,-0.13995373646415,0.253161560526037,-0.552823802212878,0.580384068158209,0.724966514262681
"LOC4342512",0.155264,0.802888,0.638484,0.720908,11.1693682181283,0.626262871533261,1.13322130223161,0.552639515600339,0.580510277847638,0.725083427381266
"LOC4333231",34.369669,34.12293,35.504077,32.864927,766.192408144952,0.084634473802712,0.153236353467396,0.552313285246113,0.580733729997746,0.725321780744896
"LOC107276483",6.727396,6.139381,8.761551,6.974257,27.9112812710907,0.33716540663227,0.610638041862507,0.552152639563499,0.580843779384435,0.725375348236574
"LOC107275744",2.522682,1.064615,2.129407,2.181694,42.1284117232362,0.340859578763427,0.617362882145374,0.552121918277495,0.580864825933977,0.725375348236574
"LOC4340605",23.999979,20.691408,20.601166,24.424296,1270.04026163719,0.100497989837009,0.182026027551152,0.552107801225119,0.580874497368955,0.725375348236574
"LOC4348958",1.159444,0.856196,0.508883,0.932003,21.8155134200212,-0.414479213038199,0.75099983455194,-0.551903201530643,0.581014674797872,0.725509646996972
"LOC4331331",0.456501,0.287433,0.314349,0.143122,9.12638515099376,-0.614132110039556,1.11331234555611,-0.551626066566963,0.581204573571625,0.725706013940129
"LOC4331941",30.479202,28.826158,11.957413,30.967027,722.352162770255,-0.370106355487395,0.671082617484814,-0.551506395553109,0.581286583672407,0.725767654000597
"LOC4342522",90.059885,96.705857,90.067241,76.954646,3030.83949773721,-0.0746917962551153,0.13550382693289,-0.551215400669884,0.581486023965444,0.725975896834216
"LOC4340249",44.005407,45.128981,43.401352,44.581873,1669.6732140769,0.0704303700683086,0.127791532797272,0.551134871979658,0.581541221878906,0.725996358344117
"LOC4333726",78.05845,84.033722,71.03658,74.240004,2753.57787267639,-0.0686014465013439,0.124481796162791,-0.551096213390353,0.581567721050184,0.725996358344117
"LOC4347129",1.162486,1.286607,1.032121,0.925298,53.0477321273979,-0.245485717213521,0.445770555752058,-0.550699713217628,0.58183954125513,0.726234520641234
"LOC4345389",17.52634,15.009098,13.755993,14.137069,234.460569153524,-0.134603124135744,0.244429488394709,-0.550682837082181,0.581851111986216,0.726234520641234
"LOC4352758",0.724151,0.066192,0.95155,0.345457,8.65881994217626,0.780654109626774,1.41774366099486,0.550631352552813,0.581886411824798,0.726234520641234
"LOC4329226",38.459156,43.677128,28.607553,58.748438,800.752761469928,0.185805935994543,0.337451846196271,0.550614667215284,0.581897852169758,0.726234520641234
"LOC4342395",0.708507,1.337145,0.582511,0.628732,7.97912545122368,-0.62295039010452,1.13146945047113,-0.550567573737964,0.58193014250161,0.726234520641234
"LOC4342372",1.167165,0.516467,0.713572,1.419479,23.8735708370761,0.437446205402383,0.794588063658203,0.550532062347407,0.58195449195989,0.726234520641234
"LOC107275879",1.625672,1.265303,1.306232,0.996087,53.8744121826694,-0.259220452838015,0.470954227920356,-0.550415385339426,0.582034498428446,0.726293596203605
"LOC107277254",0.613061,0.083916,0.547033,0.656556,6.03715328262987,0.800672039912019,1.4548117199612,0.550361279694235,0.582071600897426,0.726297143560392
"LOC4330852",79.994516,76.711284,73.589957,66.201627,1186.70386116831,-0.0791255495236625,0.143782035466656,-0.550315964486485,0.582102676251636,0.726297143560392
"LOC4329028",64.590158,72.199996,66.315627,69.497035,1278.64436968982,0.0799916313386281,0.145439624593427,0.54999888484478,0.582320138448187,0.726509796038604
"LOC4349063",0.927775,1.509472,1.097341,0.66558,26.6275587925819,-0.375934108461056,0.683551152605833,-0.549972166717766,0.582338464229027,0.726509796038604
"LOC4324030",34.743691,32.967592,34.146801,33.499958,728.426957187396,0.0863370722499268,0.157005179166363,0.549899517381167,0.582388295274383,0.726531195647815
"LOC4348231",5.756312,6.395977,7.151037,5.647168,156.175440722819,0.160293101664233,0.291640848508954,0.54962500103723,0.582576607276746,0.726706430542801
"LOC4333944",17.200341,15.725687,16.468702,12.113205,513.940901750516,-0.122217258731609,0.222375147152901,-0.549599450731671,0.582594135653978,0.726706430542801
"LOC4334444",24.756528,28.771435,25.95294,28.275004,427.137995239447,0.109942058075781,0.200162815544665,0.549263147486295,0.5828248740391,0.726953460000635
"LOC9266781",0.701328,0.665202,0.397818,0.490167,11.0917318153579,-0.516134668111425,0.939965671748327,-0.54909948695405,0.582937177305109,0.727052746719651
"LOC112936841",0.301243,0.167305,0.179112,0.546895,7.7393571064833,0.684109335975556,1.24617846617275,0.548965781824641,0.583028932772795,0.72712639604743
"LOC4340268",5.185583,5.233541,4.597689,3.77682,62.1174673903602,-0.229233016729453,0.41774543421229,-0.548738532981695,0.583184898290428,0.727280112390121
"LOC4324492",0.798549,1.181468,0.791521,0.726321,37.6953473321792,-0.301814501018183,0.550086381469501,-0.548667466029454,0.58323367698244,0.727300148093027
"LOC4345249",47.213963,50.731763,45.490709,51.777278,2182.55051568962,0.080249155991642,0.146303865869383,0.548510153951001,0.583341659074446,0.727300621778876
"LOC9270178",0.379453,0.488733,0.717755,0.517037,8.27932756544477,0.596072954077184,1.08672638485179,0.548503250115233,0.583346398215997,0.727300621778876
"LOC4343809",2.372127,1.481094,1.587221,1.499714,68.9358549524367,-0.248025106319125,0.452190223915416,-0.548497276591985,0.58335049875853,0.727300621778876
"LOC4337536",88.563992,81.40428,77.529031,73.527945,935.040639956705,-0.0836530581365185,0.152519006156088,-0.548476286626913,0.58336490748809,0.727300621778876
"LOC4352911",2.118716,1.570753,1.449564,1.428346,34.8571022492961,-0.306610266141931,0.55917219825944,-0.548328881686768,0.583466099461946,0.727385992449111
"LOC4328679",1.564451,0.658593,1.050971,1.617975,45.0344387786265,0.352215636520705,0.642408876474541,0.548273302905806,0.583504255846374,0.727392773772494
"LOC4343567",0.646766,0.986851,0.760196,0.445724,23.3323499570639,-0.391814167453214,0.7147801419227,-0.548160398523755,0.58358177143605,0.727448616524877
"LOC4333434",0.671072,0.219648,0.456913,0.065583,8.71115073036756,-0.750383966919045,1.36947669394986,-0.547934820821798,0.583736658344938,0.727600892806133
"LOC4339703",8.95597,8.273902,5.02226,8.882569,151.570137466925,-0.209150122511321,0.381923655424165,-0.547622854832176,0.583950893012407,0.727827122118222
"LOC4329150",2.040913,2.167842,2.400576,2.254576,64.9541788458016,0.220736644844109,0.403151431138861,0.547527871153902,0.584016127894494,0.727867625510302
"LOC4325432",7.065137,8.470382,4.478335,8.226794,320.359744310126,-0.188297754421441,0.343948048182851,-0.547459871966877,0.58406283188576,0.727885030342831
"LOC4348952",21.350696,21.353743,20.618893,22.14936,625.34641921248,0.0918272698369604,0.167777573323371,0.547315520292898,0.584161982941669,0.727941903845931
"LOC4334415",133.142616,129.046027,126.173658,133.148206,1747.63407371914,0.0730473754875501,0.133473687919223,0.547279217547041,0.584186919497291,0.727941903845931
"LOC4342336",3.179413,0.954687,3.33391,2.109915,25.1937240573341,0.456700299789557,0.834665556271815,0.547165623833206,0.584264950844007,0.727941903845931
"LOC9268213",1.218007,1.502664,1.648149,1.806858,16.0041070742673,0.431906431001218,0.78935262979681,0.547165379194843,0.584265118899569,0.727941903845931
"LOC4346004",2.09112,1.690051,1.84436,2.331996,65.9647838212382,0.23623332213535,0.431778427225182,0.547117010114425,0.584298346726289,0.727941903845931
"LOC107278261",4.835697,3.993892,4.625969,2.421768,73.3229233918758,-0.262520470533737,0.47983348118352,-0.547107446287875,0.584304916836886,0.727941903845931
